,Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Price,Discount,Weather Condition,Promotion,Competitor Pricing,Seasonality,Epidemic,Demand,Year,Month,Day,Weekday,Discounted Price,Sell Through Rate
13,2022-01-01,S001,P0014,Groceries,North,252,121,479,80.13,10,Snowy,1,92.24,Winter,0,165,2022,1,1,Saturday,72.117,0.4801587301587302
14,2022-01-01,S001,P0015,Toys,North,119,55,74,14.39,5,Snowy,0,13.59,Winter,0,64,2022,1,1,Saturday,13.6705,0.46218487394957986
15,2022-01-01,S001,P0016,Groceries,North,103,78,372,38.79,10,Snowy,0,35.14,Winter,0,115,2022,1,1,Saturday,34.911,0.7572815533980582
16,2022-01-01,S001,P0017,Toys,North,128,59,0,21.21,0,Snowy,0,22.73,Winter,0,75,2022,1,1,Saturday,21.21,0.4609375
17,2022-01-01,S001,P0018,Groceries,North,281,78,0,54.4,5,Snowy,0,54.1,Winter,0,66,2022,1,1,Saturday,51.68,0.2775800711743772
18,2022-01-01,S001,P0019,Furniture,North,281,61,0,95.56,10,Snowy,0,103.05,Winter,0,58,2022,1,1,Saturday,86.004,0.21708185053380782
19,2022-01-01,S001,P0020,Furniture,North,266,36,0,100.47,5,Snowy,0,115.24,Winter,0,43,2022,1,1,Saturday,95.4465,0.13533834586466165
20,2022-01-01,S002,P0001,Groceries,South,102,102,331,90.89,0,Cloudy,0,81.87,Winter,0,118,2022,1,1,Saturday,90.89,1.0
21,2022-01-01,S002,P0002,Toys,South,193,119,192,25.68,25,Cloudy,1,30.95,Winter,0,105,2022,1,1,Saturday,19.259999999999998,0.616580310880829
22,2022-01-01,S002,P0003,Groceries,South,187,167,596,95.17,10,Cloudy,1,84.24,Winter,0,171,2022,1,1,Saturday,85.653,0.893048128342246
23,2022-01-01,S002,P0004,Groceries,South,160,111,339,39.54,10,Cloudy,0,46.57,Winter,0,110,2022,1,1,Saturday,35.586,0.69375
24,2022-01-01,S002,P0005,Electronics,South,155,103,334,92.35,0,Cloudy,0,104.72,Winter,0,94,2022,1,1,Saturday,92.35,0.6645161290322581
25,2022-01-01,S002,P0006,Clothing,South,198,79,0,64.0,5,Cloudy,0,57.37,Winter,0,88,2022,1,1,Saturday,60.8,0.398989898989899
26,2022-01-01,S002,P0007,Toys,South,233,89,226,25.47,10,Cloudy,0,30.08,Winter,0,93,2022,1,1,Saturday,22.923,0.38197424892703863
27,2022-01-01,S002,P0008,Groceries,South,124,124,99,25.63,5,Cloudy,0,29.79,Winter,0,112,2022,1,1,Saturday,24.348499999999998,1.0
28,2022-01-01,S002,P0009,Groceries,South,131,131,260,64.84,10,Cloudy,0,68.68,Winter,0,145,2022,1,1,Saturday,58.356,1.0
29,2022-01-01,S002,P0010,Groceries,South,242,118,194,117.17,5,Cloudy,0,106.37,Winter,0,195,2022,1,1,Saturday,111.3115,0.48760330578512395
30,2022-01-01,S002,P0011,Groceries,South,206,49,191,84.71,10,Cloudy,0,76.07,Winter,0,79,2022,1,1,Saturday,76.23899999999999,0.23786407766990292
31,2022-01-01,S002,P0012,Electronics,South,197,78,413,78.86,0,Cloudy,0,69.84,Winter,0,122,2022,1,1,Saturday,78.86,0.39593908629441626
32,2022-01-01,S002,P0013,Groceries,South,152,93,331,21.76,10,Cloudy,0,21.12,Winter,0,109,2022,1,1,Saturday,19.584000000000003,0.6118421052631579
33,2022-01-01,S002,P0014,Electronics,South,153,69,289,100.18,10,Cloudy,1,108.96,Winter,0,63,2022,1,1,Saturday,90.162,0.45098039215686275
34,2022-01-01,S002,P0015,Clothing,South,106,70,457,65.19,10,Cloudy,0,64.23,Winter,0,96,2022,1,1,Saturday,58.671,0.660377358490566
35,2022-01-01,S002,P0016,Clothing,South,113,113,323,111.87,5,Cloudy,0,118.76,Winter,0,194,2022,1,1,Saturday,106.2765,1.0
36,2022-01-01,S002,P0017,Toys,South,153,72,196,18.89,5,Cloudy,0,18.27,Winter,0,65,2022,1,1,Saturday,17.9455,0.47058823529411764
37,2022-01-01,S002,P0018,Clothing,South,126,69,86,27.67,0,Cloudy,0,26.08,Winter,0,79,2022,1,1,Saturday,27.67,0.5476190476190477
38,2022-01-01,S002,P0019,Clothing,South,164,82,391,83.09,10,Cloudy,0,74.12,Winter,0,96,2022,1,1,Saturday,74.781,0.5
39,2022-01-01,S002,P0020,Furniture,South,126,43,132,125.8,0,Cloudy,0,110.88,Winter,0,53,2022,1,1,Saturday,125.8,0.3412698412698413
40,2022-01-01,S003,P0001,Toys,East,182,109,193,16.85,10,Sunny,0,15.48,Winter,0,112,2022,1,1,Saturday,15.165000000000001,0.5989010989010989
41,2022-01-01,S003,P0002,Groceries,East,290,56,236,50.42,10,Sunny,1,45.94,Winter,0,82,2022,1,1,Saturday,45.378,0.19310344827586207
42,2022-01-01,S003,P0003,Electronics,East,122,122,127,83.17,20,Sunny,1,72.09,Winter,0,126,2022,1,1,Saturday,66.536,1.0
43,2022-01-01,S003,P0004,Groceries,East,203,122,518,26.29,5,Sunny,0,30.05,Winter,0,158,2022,1,1,Saturday,24.975499999999997,0.6009852216748769
44,2022-01-01,S003,P0005,Toys,East,253,40,212,19.8,5,Sunny,0,17.3,Winter,0,57,2022,1,1,Saturday,18.81,0.15810276679841898
45,2022-01-01,S003,P0006,Toys,East,227,106,0,44.64,0,Sunny,0,50.46,Winter,0,136,2022,1,1,Saturday,44.64,0.4669603524229075
46,2022-01-01,S003,P0007,Groceries,East,247,123,552,18.65,0,Sunny,0,21.62,Winter,0,142,2022,1,1,Saturday,18.65,0.4979757085020243
47,2022-01-01,S003,P0008,Clothing,East,297,61,0,113.01,0,Sunny,0,126.44,Winter,0,89,2022,1,1,Saturday,113.01,0.2053872053872054
48,2022-01-01,S003,P0009,Groceries,East,226,96,0,56.32,5,Sunny,0,66.33,Winter,0,126,2022,1,1,Saturday,53.504,0.4247787610619469
49,2022-01-01,S003,P0010,Groceries,East,167,70,127,36.21,10,Sunny,0,39.87,Winter,0,106,2022,1,1,Saturday,32.589,0.41916167664670656
50,2022-01-01,S003,P0011,Electronics,East,159,157,293,131.16,10,Sunny,0,139.75,Winter,0,149,2022,1,1,Saturday,118.044,0.9874213836477987
51,2022-01-01,S003,P0012,Furniture,East,126,58,131,105.94,0,Sunny,0,103.35,Winter,0,80,2022,1,1,Saturday,105.94,0.4603174603174603
52,2022-01-01,S003,P0013,Groceries,East,105,105,743,86.78,10,Sunny,0,78.8,Winter,0,176,2022,1,1,Saturday,78.102,1.0
53,2022-01-01,S003,P0014,Groceries,East,271,27,0,61.69,25,Sunny,1,53.36,Winter,0,44,2022,1,1,Saturday,46.2675,0.0996309963099631
54,2022-01-01,S003,P0015,Groceries,East,166,131,500,98.46,10,Sunny,0,104.52,Winter,0,133,2022,1,1,Saturday,88.61399999999999,0.7891566265060241
55,2022-01-01,S003,P0016,Electronics,East,292,80,0,94.11,10,Sunny,0,107.33,Winter,0,108,2022,1,1,Saturday,84.699,0.273972602739726
56,2022-01-01,S003,P0017,Furniture,East,204,53,380,112.23,10,Sunny,0,133.9,Winter,0,82,2022,1,1,Saturday,101.007,0.25980392156862747
57,2022-01-01,S003,P0018,Furniture,East,289,56,316,134.95,5,Sunny,0,125.53,Winter,0,75,2022,1,1,Saturday,128.2025,0.19377162629757785
58,2022-01-01,S003,P0019,Groceries,East,201,109,0,59.71,0,Sunny,0,70.74,Winter,0,123,2022,1,1,Saturday,59.71,0.5422885572139303
59,2022-01-01,S003,P0020,Clothing,East,250,41,270,65.81,5,Sunny,0,57.66,Winter,0,61,2022,1,1,Saturday,62.5195,0.164
60,2022-01-01,S004,P0001,Groceries,West,215,85,287,10.47,0,Snowy,0,11.51,Winter,0,81,2022,1,1,Saturday,10.47,0.3953488372093023
61,2022-01-01,S004,P0002,Groceries,West,283,67,0,19.12,10,Snowy,1,20.62,Winter,0,112,2022,1,1,Saturday,17.208000000000002,0.23674911660777384
62,2022-01-01,S004,P0003,Furniture,West,161,92,407,134.16,20,Snowy,1,117.74,Winter,0,114,2022,1,1,Saturday,107.328,0.5714285714285714
63,2022-01-01,S004,P0004,Groceries,West,168,88,252,51.64,0,Snowy,0,57.32,Winter,0,86,2022,1,1,Saturday,51.64,0.5238095238095238
64,2022-01-01,S004,P0005,Clothing,West,289,197,0,89.23,10,Snowy,0,77.73,Winter,0,183,2022,1,1,Saturday,80.307,0.6816608996539792
65,2022-01-01,S004,P0006,Groceries,West,206,48,162,35.33,0,Snowy,0,34.77,Winter,0,73,2022,1,1,Saturday,35.33,0.23300970873786409
66,2022-01-01,S004,P0007,Groceries,West,185,43,253,24.34,5,Snowy,0,26.46,Winter,0,65,2022,1,1,Saturday,23.122999999999998,0.23243243243243245
67,2022-01-01,S004,P0008,Furniture,West,281,59,0,100.64,0,Snowy,0,118.02,Winter,0,80,2022,1,1,Saturday,100.64,0.2099644128113879
68,2022-01-01,S004,P0009,Clothing,West,206,106,299,110.47,5,Snowy,0,122.04,Winter,0,98,2022,1,1,Saturday,104.9465,0.5145631067961165
69,2022-01-01,S004,P0010,Groceries,West,223,120,597,30.02,0,Snowy,0,29.15,Winter,0,128,2022,1,1,Saturday,30.02,0.5381165919282511
70,2022-01-01,S004,P0011,Clothing,West,195,60,293,52.89,0,Snowy,0,62.29,Winter,0,61,2022,1,1,Saturday,52.89,0.3076923076923077
71,2022-01-01,S004,P0012,Electronics,West,111,111,113,118.15,0,Snowy,0,133.46,Winter,0,103,2022,1,1,Saturday,118.15,1.0
72,2022-01-01,S004,P0013,Groceries,West,136,104,385,20.24,10,Snowy,0,18.9,Winter,0,110,2022,1,1,Saturday,18.215999999999998,0.7647058823529411
73,2022-01-01,S004,P0014,Furniture,West,110,52,122,148.46,10,Snowy,1,178.25,Winter,0,70,2022,1,1,Saturday,133.614,0.4727272727272727
74,2022-01-01,S004,P0015,Furniture,West,249,42,0,86.47,5,Snowy,0,81.87,Winter,0,44,2022,1,1,Saturday,82.14649999999999,0.1686746987951807
75,2022-01-01,S004,P0016,Furniture,West,155,74,218,110.39,10,Snowy,0,101.16,Winter,0,71,2022,1,1,Saturday,99.351,0.4774193548387097
76,2022-01-01,S004,P0017,Clothing,West,232,65,0,84.83,10,Snowy,0,94.7,Winter,0,85,2022,1,1,Saturday,76.347,0.2801724137931034
77,2022-01-01,S004,P0018,Furniture,West,165,64,0,141.31,10,Snowy,0,150.73,Winter,0,67,2022,1,1,Saturday,127.179,0.3878787878787879
78,2022-01-01,S004,P0019,Clothing,West,146,125,103,56.86,10,Snowy,0,64.61,Winter,0,111,2022,1,1,Saturday,51.174,0.8561643835616438
79,2022-01-01,S004,P0020,Furniture,West,290,52,0,124.97,10,Snowy,0,110.39,Winter,0,76,2022,1,1,Saturday,112.473,0.1793103448275862
80,2022-01-01,S005,P0001,Groceries,North,182,75,198,11.46,5,Snowy,0,9.92,Winter,0,84,2022,1,1,Saturday,10.887,0.41208791208791207
81,2022-01-01,S005,P0002,Electronics,North,131,131,474,48.68,10,Snowy,1,51.85,Winter,0,186,2022,1,1,Saturday,43.812,1.0
82,2022-01-01,S005,P0003,Toys,North,247,145,0,29.57,20,Snowy,1,26.3,Winter,0,143,2022,1,1,Saturday,23.656000000000002,0.5870445344129555
83,2022-01-01,S005,P0004,Groceries,North,195,143,114,7.45,10,Snowy,0,8.33,Winter,0,121,2022,1,1,Saturday,6.705,0.7333333333333333
84,2022-01-01,S005,P0005,Groceries,North,187,126,344,20.02,0,Snowy,0,18.12,Winter,0,148,2022,1,1,Saturday,20.02,0.6737967914438503
85,2022-01-01,S005,P0006,Groceries,North,280,59,300,53.49,5,Snowy,0,52.34,Winter,0,67,2022,1,1,Saturday,50.8155,0.21071428571428572
86,2022-01-01,S005,P0007,Groceries,North,297,74,0,82.73,0,Snowy,0,79.8,Winter,0,85,2022,1,1,Saturday,82.73,0.24915824915824916
87,2022-01-01,S005,P0008,Groceries,North,229,165,0,73.42,0,Snowy,0,84.61,Winter,0,149,2022,1,1,Saturday,73.42,0.7205240174672489
88,2022-01-01,S005,P0009,Groceries,North,270,59,268,94.75,0,Snowy,0,112.34,Winter,0,94,2022,1,1,Saturday,94.75,0.21851851851851853
89,2022-01-01,S005,P0010,Groceries,North,132,132,436,70.86,0,Snowy,0,63.54,Winter,0,136,2022,1,1,Saturday,70.86,1.0
90,2022-01-01,S005,P0011,Electronics,North,220,17,0,62.12,0,Snowy,0,55.78,Winter,0,15,2022,1,1,Saturday,62.12,0.07727272727272727
91,2022-01-01,S005,P0012,Furniture,North,230,71,371,133.86,5,Snowy,0,118.2,Winter,0,84,2022,1,1,Saturday,127.167,0.30869565217391304
92,2022-01-01,S005,P0013,Groceries,North,145,82,328,71.03,10,Snowy,0,78.02,Winter,0,116,2022,1,1,Saturday,63.927,0.5655172413793104
93,2022-01-01,S005,P0014,Furniture,North,193,63,219,161.18,10,Snowy,1,156.66,Winter,0,82,2022,1,1,Saturday,145.062,0.32642487046632124
94,2022-01-01,S005,P0015,Groceries,North,132,108,203,44.36,10,Snowy,0,52.84,Winter,0,93,2022,1,1,Saturday,39.924,0.8181818181818182
95,2022-01-01,S005,P0016,Toys,North,131,59,191,32.84,0,Snowy,0,39.5,Winter,0,76,2022,1,1,Saturday,32.84,0.45038167938931295
96,2022-01-01,S005,P0017,Toys,North,159,89,73,33.04,10,Snowy,0,37.53,Winter,0,88,2022,1,1,Saturday,29.736,0.559748427672956
97,2022-01-01,S005,P0018,Clothing,North,245,68,0,22.41,0,Snowy,0,22.24,Winter,0,88,2022,1,1,Saturday,22.41,0.27755102040816326
98,2022-01-01,S005,P0019,Furniture,North,202,42,0,119.15,10,Snowy,0,102.4,Winter,0,47,2022,1,1,Saturday,107.23500000000001,0.2079207920792079
99,2022-01-01,S005,P0020,Toys,North,131,79,105,28.66,10,Snowy,0,34.32,Winter,0,104,2022,1,1,Saturday,25.794,0.6030534351145038
100,2022-01-02,S001,P0001,Electronics,North,93,71,0,65.63,5,Snowy,0,73.66,Winter,0,84,2022,1,2,Sunday,62.348499999999994,0.7634408602150538
101,2022-01-02,S001,P0002,Clothing,North,249,116,0,74.44,10,Snowy,0,87.66,Winter,0,175,2022,1,2,Sunday,66.996,0.46586345381526106
102,2022-01-02,S001,P0003,Clothing,North,133,130,0,66.15,0,Snowy,0,74.15,Winter,0,156,2022,1,2,Sunday,66.15,0.9774436090225563
103,2022-01-02,S001,P0004,Electronics,North,94,82,183,91.64,10,Snowy,0,105.17,Winter,0,78,2022,1,2,Sunday,82.476,0.8723404255319149
104,2022-01-02,S001,P0005,Groceries,North,87,87,487,63.35,0,Snowy,0,61.2,Winter,0,103,2022,1,2,Sunday,63.35,1.0
105,2022-01-02,S001,P0006,Toys,North,149,77,172,36.93,5,Snowy,0,32.24,Winter,0,65,2022,1,2,Sunday,35.0835,0.5167785234899329
106,2022-01-02,S001,P0007,Groceries,North,37,37,497,27.22,0,Snowy,0,31.11,Winter,0,127,2022,1,2,Sunday,27.22,1.0
107,2022-01-02,S001,P0008,Electronics,North,202,37,0,37.38,5,Snowy,0,42.34,Winter,0,58,2022,1,2,Sunday,35.511,0.18316831683168316
108,2022-01-02,S001,P0009,Clothing,North,166,133,107,93.21,10,Snowy,0,83.66,Winter,0,126,2022,1,2,Sunday,83.889,0.8012048192771084
109,2022-01-02,S001,P0010,Furniture,North,122,105,498,129.03,10,Snowy,1,139.76,Winter,0,107,2022,1,2,Sunday,116.12700000000001,0.860655737704918
110,2022-01-02,S001,P0011,Furniture,North,164,152,264,175.19,10,Snowy,1,187.65,Winter,0,130,2022,1,2,Sunday,157.671,0.926829268292683
111,2022-01-02,S001,P0012,Groceries,North,168,168,397,96.27,10,Snowy,1,109.41,Winter,0,187,2022,1,2,Sunday,86.643,1.0
112,2022-01-02,S001,P0013,Toys,North,166,73,90,32.72,10,Snowy,0,28.94,Winter,0,107,2022,1,2,Sunday,29.448,0.4397590361445783
113,2022-01-02,S001,P0014,Groceries,North,131,81,0,70.94,0,Snowy,0,66.18,Winter,0,75,2022,1,2,Sunday,70.94,0.6183206106870229
114,2022-01-02,S001,P0015,Toys,North,138,117,109,15.17,10,Snowy,1,16.81,Winter,0,110,2022,1,2,Sunday,13.653,0.8478260869565217
115,2022-01-02,S001,P0016,Groceries,North,25,25,0,35.58,0,Snowy,0,30.98,Winter,0,59,2022,1,2,Sunday,35.58,1.0
116,2022-01-02,S001,P0017,Toys,North,69,33,50,17.76,10,Snowy,0,16.08,Winter,0,42,2022,1,2,Sunday,15.984000000000002,0.4782608695652174
117,2022-01-02,S001,P0018,Groceries,North,203,172,155,66.33,10,Snowy,0,56.8,Winter,0,144,2022,1,2,Sunday,59.697,0.8472906403940886
118,2022-01-02,S001,P0019,Furniture,North,220,35,0,93.29,10,Snowy,0,99.51,Winter,0,52,2022,1,2,Sunday,83.96100000000001,0.1590909090909091
119,2022-01-02,S001,P0020,Furniture,North,230,93,432,119.87,10,Snowy,0,111.8,Winter,0,92,2022,1,2,Sunday,107.88300000000001,0.4043478260869565
120,2022-01-02,S002,P0001,Groceries,South,0,0,350,86.71,10,Cloudy,0,85.0,Winter,0,137,2022,1,2,Sunday,78.039,
121,2022-01-02,S002,P0002,Toys,South,74,61,0,31.7,0,Cloudy,0,36.09,Winter,0,82,2022,1,2,Sunday,31.7,0.8243243243243243
122,2022-01-02,S002,P0003,Groceries,South,20,20,0,66.64,10,Cloudy,0,61.22,Winter,0,58,2022,1,2,Sunday,59.976,1.0
123,2022-01-02,S002,P0004,Groceries,South,49,40,0,36.7,5,Cloudy,0,35.23,Winter,0,59,2022,1,2,Sunday,34.865,0.8163265306122449
124,2022-01-02,S002,P0005,Electronics,South,52,52,412,98.83,5,Cloudy,0,94.92,Winter,0,115,2022,1,2,Sunday,93.8885,1.0
125,2022-01-02,S002,P0006,Clothing,South,119,116,137,66.76,10,Cloudy,0,59.62,Winter,0,117,2022,1,2,Sunday,60.084,0.9747899159663865
126,2022-01-02,S002,P0007,Toys,South,144,95,0,30.0,0,Cloudy,0,28.44,Winter,0,95,2022,1,2,Sunday,30.0,0.6597222222222222
127,2022-01-02,S002,P0008,Groceries,South,99,99,153,29.35,0,Cloudy,0,34.68,Winter,0,140,2022,1,2,Sunday,29.35,1.0
128,2022-01-02,S002,P0009,Groceries,South,0,0,263,74.78,0,Cloudy,0,83.48,Winter,0,158,2022,1,2,Sunday,74.78,
129,2022-01-02,S002,P0010,Groceries,South,318,179,0,101.56,25,Cloudy,1,98.18,Winter,0,234,2022,1,2,Sunday,76.17,0.5628930817610063
130,2022-01-02,S002,P0011,Groceries,South,157,135,474,91.4,15,Cloudy,1,109.66,Winter,0,137,2022,1,2,Sunday,77.69,0.8598726114649682
131,2022-01-02,S002,P0012,Electronics,South,119,75,511,65.63,15,Cloudy,1,56.85,Winter,0,115,2022,1,2,Sunday,55.78549999999999,0.6302521008403361
132,2022-01-02,S002,P0013,Groceries,South,59,45,0,20.47,0,Cloudy,0,22.07,Winter,0,75,2022,1,2,Sunday,20.47,0.7627118644067796
133,2022-01-02,S002,P0014,Electronics,South,84,84,564,134.04,10,Cloudy,0,124.77,Winter,0,135,2022,1,2,Sunday,120.636,1.0
134,2022-01-02,S002,P0015,Clothing,South,36,36,604,65.22,20,Cloudy,1,71.11,Winter,0,152,2022,1,2,Sunday,52.176,1.0
135,2022-01-02,S002,P0016,Clothing,South,0,0,260,107.38,0,Cloudy,0,114.77,Winter,0,159,2022,1,2,Sunday,107.38,
136,2022-01-02,S002,P0017,Toys,South,81,63,323,18.69,10,Cloudy,0,20.42,Winter,0,92,2022,1,2,Sunday,16.821,0.7777777777777778
137,2022-01-02,S002,P0018,Clothing,South,143,74,87,26.16,5,Cloudy,0,31.4,Winter,0,92,2022,1,2,Sunday,24.852,0.5174825174825175
138,2022-01-02,S002,P0019,Clothing,South,82,66,439,93.88,0,Cloudy,0,85.41,Winter,0,101,2022,1,2,Sunday,93.88,0.8048780487804879
139,2022-01-02,S002,P0020,Furniture,South,83,77,214,134.4,0,Cloudy,0,124.57,Winter,0,70,2022,1,2,Sunday,134.4,0.927710843373494
140,2022-01-02,S003,P0001,Toys,East,73,73,0,15.76,5,Cloudy,0,16.81,Winter,0,91,2022,1,2,Sunday,14.972,1.0
141,2022-01-02,S003,P0002,Groceries,East,234,175,548,63.12,10,Cloudy,0,55.32,Winter,0,154,2022,1,2,Sunday,56.808,0.7478632478632479
142,2022-01-02,S003,P0003,Electronics,East,127,125,160,109.88,0,Cloudy,0,107.36,Winter,0,145,2022,1,2,Sunday,109.88,0.984251968503937
143,2022-01-02,S003,P0004,Groceries,East,81,39,0,19.9,0,Cloudy,0,22.28,Winter,0,56,2022,1,2,Sunday,19.9,0.48148148148148145
144,2022-01-02,S003,P0005,Toys,East,213,59,0,20.05,10,Cloudy,0,17.73,Winter,0,75,2022,1,2,Sunday,18.045,0.27699530516431925
145,2022-01-02,S003,P0006,Toys,East,121,70,96,40.69,0,Cloudy,0,39.79,Winter,0,91,2022,1,2,Sunday,40.69,0.5785123966942148
146,2022-01-02,S003,P0007,Groceries,East,124,124,0,16.3,10,Cloudy,0,19.56,Winter,0,132,2022,1,2,Sunday,14.670000000000002,1.0
147,2022-01-02,S003,P0008,Clothing,East,236,121,306,132.2,5,Cloudy,0,148.43,Winter,0,156,2022,1,2,Sunday,125.58999999999999,0.5127118644067796
148,2022-01-02,S003,P0009,Groceries,East,130,78,86,52.56,10,Cloudy,0,51.15,Winter,0,105,2022,1,2,Sunday,47.304,0.6
149,2022-01-02,S003,P0010,Groceries,East,224,92,0,32.73,20,Cloudy,1,32.0,Winter,0,96,2022,1,2,Sunday,26.183999999999997,0.4107142857142857
150,2022-01-02,S003,P0011,Electronics,East,2,2,386,113.61,25,Cloudy,1,126.49,Winter,0,163,2022,1,2,Sunday,85.2075,1.0
151,2022-01-02,S003,P0012,Furniture,East,68,62,224,90.21,15,Cloudy,1,106.9,Winter,0,95,2022,1,2,Sunday,76.6785,0.9117647058823529
152,2022-01-02,S003,P0013,Groceries,East,0,0,0,69.14,0,Cloudy,0,72.85,Winter,0,83,2022,1,2,Sunday,69.14,
153,2022-01-02,S003,P0014,Groceries,East,244,52,0,84.21,0,Cloudy,0,83.63,Winter,0,50,2022,1,2,Sunday,84.21,0.21311475409836064
154,2022-01-02,S003,P0015,Groceries,East,35,35,622,100.93,20,Cloudy,1,120.1,Winter,0,185,2022,1,2,Sunday,80.74400000000001,1.0
155,2022-01-02,S003,P0016,Electronics,East,212,126,289,126.78,0,Cloudy,0,110.11,Winter,0,156,2022,1,2,Sunday,126.78,0.5943396226415094
156,2022-01-02,S003,P0017,Furniture,East,151,37,0,107.38,5,Cloudy,0,92.46,Winter,0,42,2022,1,2,Sunday,102.011,0.24503311258278146
157,2022-01-02,S003,P0018,Furniture,East,233,65,0,127.98,10,Cloudy,0,148.9,Winter,0,90,2022,1,2,Sunday,115.182,0.27896995708154504
158,2022-01-02,S003,P0019,Groceries,East,92,92,95,56.72,5,Cloudy,0,55.93,Winter,0,107,2022,1,2,Sunday,53.88399999999999,1.0
159,2022-01-02,S003,P0020,Clothing,East,209,60,0,73.57,5,Cloudy,0,62.9,Winter,0,92,2022,1,2,Sunday,69.8915,0.28708133971291866
160,2022-01-02,S004,P0001,Groceries,West,130,130,734,12.67,10,Sunny,0,11.95,Winter,0,160,2022,1,2,Sunday,11.403,1.0
161,2022-01-02,S004,P0002,Groceries,West,216,121,225,23.71,0,Sunny,0,21.48,Winter,0,131,2022,1,2,Sunday,23.71,0.5601851851851852
162,2022-01-02,S004,P0003,Furniture,West,69,69,0,142.86,5,Sunny,0,134.09,Winter,0,81,2022,1,2,Sunday,135.717,1.0
163,2022-01-02,S004,P0004,Groceries,West,80,20,0,38.88,5,Sunny,0,44.68,Winter,0,26,2022,1,2,Sunday,36.936,0.25
164,2022-01-02,S004,P0005,Clothing,West,92,92,152,83.84,10,Sunny,0,88.73,Winter,0,178,2022,1,2,Sunday,75.456,1.0
165,2022-01-02,S004,P0006,Groceries,West,158,149,268,40.95,5,Sunny,0,34.97,Winter,0,134,2022,1,2,Sunday,38.9025,0.9430379746835443
166,2022-01-02,S004,P0007,Groceries,West,142,142,563,36.85,0,Sunny,0,35.75,Winter,0,164,2022,1,2,Sunday,36.85,1.0
167,2022-01-02,S004,P0008,Furniture,West,222,28,0,84.29,5,Sunny,0,90.72,Winter,0,46,2022,1,2,Sunday,80.0755,0.12612612612612611
168,2022-01-02,S004,P0009,Clothing,West,100,100,494,120.17,10,Sunny,0,135.44,Winter,0,142,2022,1,2,Sunday,108.153,1.0
169,2022-01-02,S004,P0010,Groceries,West,103,103,0,23.81,20,Sunny,1,26.5,Winter,0,142,2022,1,2,Sunday,19.048,1.0
170,2022-01-02,S004,P0011,Clothing,West,135,130,688,64.39,25,Sunny,1,58.88,Winter,0,205,2022,1,2,Sunday,48.292500000000004,0.9629629629629629
171,2022-01-02,S004,P0012,Electronics,West,113,90,71,94.35,15,Sunny,1,102.02,Winter,0,84,2022,1,2,Sunday,80.19749999999999,0.7964601769911505
172,2022-01-02,S004,P0013,Groceries,West,32,32,501,24.95,0,Sunny,0,23.75,Winter,0,144,2022,1,2,Sunday,24.95,1.0
173,2022-01-02,S004,P0014,Furniture,West,58,58,185,175.28,0,Sunny,0,193.4,Winter,0,87,2022,1,2,Sunday,175.28,1.0
174,2022-01-02,S004,P0015,Furniture,West,207,72,200,74.92,20,Sunny,1,82.61,Winter,0,65,2022,1,2,Sunday,59.93600000000001,0.34782608695652173
